City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
211,Brainerd,46.358,-94.2008,18.14,63,0,2.06,US,1697491993
212,Vorkuta,67.5,64.0,1.89,98,100,4.03,RU,1697491457
213,Laguna,38.421,-121.4238,29.08,39,0,2.06,US,1697491458
214,St. John's,47.5649,-52.7093,9.43,97,100,11.18,CA,1697491808
215,Codrington,-38.2667,141.9667,8.07,77,0,1.77,AU,1697491417
216,Cologne,50.9333,6.95,8.81,88,0,2.06,DE,1697491310
217,Cabo San Lucas,22.8909,-109.9124,34.23,58,0,3.6,MX,1697491408
218,Nouadhibou,20.931,-17.0347,27.99,42,100,6.17,MR,1697491994
219,Navia,43.5354,-6.7194,17.41,86,86,2.4,ES,1697491995
220,Dāmghān,36.1683,54.348,18.32,43,99,1.3,IR,1697491995
221,Port Saint John's,-31.6229,29.5448,17.78,83,100,4.78,ZA,1697491995
222,Lompoc,34.6391,-120.4579,31.12,69,40,5.66,US,1697491450
223,Hobyo,5.3505,48.5268,27.61,78,100,6.03,SO,1697491402
224,Langtang,9.1333,9.7833,25.23,87,98,2.24,NG,1697491996
225,Berezovyy,51.6667,135.7,1.82,97,99,1.32,RU,1697491996
226,Kidal,18.4411,1.4078,32.17,14,91,3.6,ML,1697491996
227,Castelli,-25.9468,-60.6195,40.44,18,71,3.03,AR,1697491996
228,Walvis Bay,-22.9575,14.5053,14.53,88,11,3.09,NA,1697491594
229,North Bend,43.4065,-124.2243,20.13,88,100,5.14,US,1697491997
230,West Island,-12.1568,96.8225,25.99,83,75,5.66,CC,1697491997
231,Kumul,42.8,93.45,11.0,40,100,2.23,CN,1697491440
232,Xinyuan,37.3,99.0,-3.95,90,89,2.57,CN,1697491997
233,Someshwar,13.5,75.0667,23.13,98,100,0.86,IN,1697491997
234,San Luis Río Colorado,32.4631,-114.7767,38.28,8,0,2.47,MX,1697491998
235,Rāyadrug,14.7,76.8667,25.81,61,98,2.7,IN,1697491998
236,Molochnoye,59.2917,39.6787,4.07,84,100,2.24,RU,1697491998
237,New Plymouth,-39.0667,174.0833,16.56,95,100,6.28,NZ,1697491998
238,Lankaran,38.7543,48.8506,14.04,100,20,0.0,AZ,1697491998
239,Saynshand,44.8824,110.1163,8.67,40,99,6.13,MN,1697491564
240,Bandarbeyla,9.4942,50.8122,26.72,83,11,2.3,SO,1697491999
241,Fortaleza,-3.7227,-38.5247,27.34,74,75,6.17,BR,1697491745
242,Keflavik,64.0049,-22.5624,4.24,87,75,1.54,IS,1697491428
243,Hawaiian Paradise Park,19.5933,-154.9731,28.73,76,20,3.6,US,1697491999
244,Yanbu,24.0891,38.0637,28.02,44,0,4.12,SA,1697492000
245,Flying Fish Cove,-10.4217,105.6791,25.82,88,75,5.14,CX,1697491980
246,Puerto Baquerizo Moreno,-0.9,-89.6,27.55,65,75,5.14,EC,1697491945
247,Kavaratti,10.5669,72.642,27.52,78,84,5.27,IN,1697492000
248,Nantucket,41.2835,-70.0995,15.08,75,75,3.09,US,1697491374
249,Xilin Hot,43.9667,116.0333,7.32,52,85,3.86,CN,1697492000
250,King City,36.2127,-121.126,29.95,26,73,4.52,US,1697492001
251,Suva,-18.1416,178.4415,25.71,73,75,4.63,FJ,1697491995
252,Cadale,2.7603,46.3222,26.45,86,100,4.12,SO,1697492001
253,Nova Viçosa,-17.8919,-39.3719,24.1,76,3,4.26,BR,1697492001
254,Marsh Harbour,26.5412,-77.0636,24.52,67,86,10.68,BS,1697492002
255,Nemuro,43.3236,145.575,8.82,67,52,12.42,JP,1697492002
256,Mukalla,14.5425,49.1242,25.98,79,1,1.63,YE,1697491977
257,Al Bawīţī,28.3492,28.8659,20.84,45,0,1.65,EG,1697492002
258,Volda,62.1476,6.0741,9.94,93,75,0.0,NO,1697492002
259,Hoquiam,46.9809,-123.8893,17.2,94,100,7.72,US,1697491961
260,Hauterive,46.0901,3.4459,9.44,75,59,1.8,FR,1697492003
261,Gela,37.0803,14.2307,22.93,79,40,1.77,IT,1697492003
262,Balqash,46.8481,74.995,9.18,59,3,5.12,KZ,1697492003
263,Armação de Búzios,-22.7469,-41.8817,24.03,94,6,9.88,BR,1697492003
264,Arraias,-12.9288,-46.9437,29.25,17,1,2.69,BR,1697492003
265,Tres Arroyos,-38.3739,-60.2798,11.14,67,75,6.16,AR,1697492004
266,Kolyshley,52.7005,44.5367,12.58,83,100,8.95,RU,1697492004
267,Lukolela,-1.0605,17.1821,22.59,92,100,0.99,CD,1697492004
268,Ceeldheer,3.8488,47.1806,26.59,83,100,4.12,SO,1697492004
269,Kismayo,-0.3582,42.5454,25.99,89,59,4.34,SO,1697492004
270,Waiuku,-37.25,174.75,21.03,69,100,2.58,NZ,1697492005
271,Mozarlândia,-14.7447,-50.5706,33.72,20,10,2.9,BR,1697492005
272,Chernyshevsk,52.5243,117.0174,1.6,59,51,2.17,RU,1697492005
